Naam;Eiwit (g) per 100 gram;Energie (kcal) per 100 gram;1 VSE;Hoeveelheid gram/ml;Eiwit (g) per VSE;Energie (kcal) per VSE;Kleurgroep;Productgroep
Roerbakgroenten, gem (gek);1,2;25;2 opscheplepels;100 gram;1,2;25;oranje;Groenten en peulvruchten
Ratatouille (bereid z vlees);1,1;56;2 opscheplepels;100 gram;1,1;56;oranje;Groenten en peulvruchten
Lasagne m saus en vlees;8,9;162;1 stukje;50 gram;4,5;81;rood;Samengestelde gerechten
Meloen, gemiddeld;0,7;33;1 schijf;120 gram;0,8;40;groen;Fruit
Kwark, volle;7,5;118;1 schaaltje;150 gram;11,3;177;rood;Melkproducten- Nagerechten
Vruchtenkwark, halfvolle;5,9;109;1 schaaltje;150 gram;8,9;164;rood;Melkproducten- Nagerechten
Kwark, magere;8,4;51;1 schaaltje;150 gram;12,6;77;rood;Melkproducten- Nagerechten
Stoofperen (bereid) m kookvocht;0,2;58;2 opscheplepels;100 gram;0,2;58;groen;Groenten en peulvruchten
Sojadessert (Alpro);3,1;85;1 schaaltje;150 ml;4,7;128;oranje;Melkproducten- Nagerechten
Sojayoghurt nature (Alpro);4;47;1 schaaltje;150 gram;6;71;rood;Melkproducten- Nagerechten
Miso (sojapasta);11,7;130;1 eetlepel;15 gram;1,8;20;rood;Vetten, oliën en hartige sauzen
Tuttifrutti (gedroogd);2,8;259;1 handje;25 gram;0,7;65;oranje;Fruit
Augurken (gem);1;17;1 stuk;22 gram;0,2;4;groen;Groenten en peulvruchten
Vanillevla (vol);2,3;86;1 schaaltje;150 ml;3,5;129;oranje;Melkproducten- Nagerechten
Smeerkaas, volvet 48+;13,4;260;1 voor 1 snee;15 gram;2;39;rood;Kaas
Halvarine (dieet-);0,1;60;1 voor 1 snee;5 gram;0;3;groen;Vetten, oliën en hartige sauzen
Rijst, witte (gekookt);3,2;146;2 opscheplepels;100 gram;3,2;146;oranje;Graanproducten, pappen en bindmiddelen
Rijst, zilvervlies (rauw);8,3;357;100 gram;100 gram;8,3;357;rood;Graanproducten, pappen en bindmiddelen
Rijst, zilvervlies (gekookt);3,1;131;2 opscheplepels;100 gram;3,1;131;oranje;Graanproducten, pappen en bindmiddelen
Soep, gebonden m vlees;4,9;64;1 kop;250 gram;12,3;160;rood;Soepen
Kaassaus;5,5;126;1 opscheplepel;25 gram;1,4;32;rood;Vetten, oliën en hartige sauzen
Yakult;1,3;66;1 flesje;65 gram;0,8;43;oranje;Melk/yoghurtdrank
Dubbeldrank ;0,2;45;1 glas;150 gram;0,3;68;groen;Dranken
Chocoladevla (vol);2,4;88;1 schaaltje;150 ml;3,6;132;oranje;Melkproducten- Nagerechten
Spinazie à la crème (DV, gek);2,9;44;2 opscheplepels;100 gram;2,9;44;oranje;Groenten en peulvruchten
Vanilleyoghurt (halfvol);2,9;72;1 schaaltje;150 gram;4,4;108;oranje;Melkproducten- Nagerechten
Vla magere m zoetstof;3,4;47;1 schaaltje;150 ml;5,1;71;rood;Melkproducten- Nagerechten
Crème fraiche;2,6;293;1 eetlepel;15 gram;0,4;44;oranje;Melkproducten- Room
Crème fraiche (halfvol);3,1;165;1 eetlepel;15 gram;0,5;25;oranje;Melkproducten- Room
Spekkoek;5,3;421;1 punt;50 gram;2,7;211;oranje;Gebak en koek
Slagroomsoes;4,1;283;1 stuk;45 gram;1,8;127;oranje;Gebak en koek
Hartige taart van brooddeeg z vlees;7,9;157;1 punt;100 gram;7,9;157;rood;Samengestelde gerechten
Brooddeeg v pizza/ hartige taart;5,7;226;100 gram;100 gram;5,7;226;rood;Graanproducten, pappen en bindmiddelen
Pizza m kaas en groenten (dv);9,3;232;1 stuk;350 gram;32,6;812;rood;Samengestelde gerechten
Rijstevlaai;4,5;211;1 punt;85 gram;3,8;179;oranje;Gebak en koek
Latte macchiato (m. melk);2,5;46;1 glas;200 ml;5;92;rood;Dranken
Koffiemelk (mager);9,9;57;1 cupje;8 gram;0,8;5;oranje;Melkproducten- Koffiemelk
Vruchtenyoghurt (vol);3,7;97;1 schaaltje;150 gram;5,6;146;rood;Melkproducten- Nagerechten
Magere yoghurt;4,1;37;1 schaaltje;150 ml;6,2;56;rood;Melkproducten- Nagerechten
Yoghurtdrank, Fristi;1,8;24;1 pakje;200 ml;3,6;48;oranje;Melk/yoghurtdrank
Halfvolle yoghurt;4,2;50;1 schaaltje;150 gram;6,3;75;rood;Melkproducten- Nagerechten
Boterkoek;4,7;452;1 stukje;25 gram;1,2;113;oranje;Gebak en koek
Tarwebloem (Patent);10,4;335;1 eetlepel;10 gram;1;34;rood;Graanproducten, pappen en bindmiddelen
Vissticks (onbereid);13;194;1 stuk;30 gram;3,9;58;rood;Vis
Bokkenpootje;5,5;454;1 stuk;15 gram;0,8;68;oranje;Gebak en koek
Andijvie (rauw);1,5;16;1 schaaltje;35 gram;0,5;6;groen;Groenten en peulvruchten
Kaas witte 45+ (Feta);17,1;247;1 portie;20 gram;3,4;49;rood;Kaas
Koekje, gemiddeld;6,1;474;1 stuk;15 gram;0,9;71;oranje;Gebak en koek
Pepernoten/ kruidnoten;5,8;442;10 stuks;20 gram;1,2;88;oranje;Gebak en koek
Bulgur, gekookt;3,1;80;2 opscheplepels;100 gram;3,1;80;oranje;Graanproducten, pappen en bindmiddelen
Gnocchi (gekookt);3,5;155;2 opscheplepels;100 gram;3,5;155;oranje;Graanproducten, pappen en bindmiddelen
Zeekraal (rauw);0,7;14;100 gram;100 gram;0,7;14;groen;Groenten en peulvruchten
Crème au beurre;0,6;567;1 eetlepel;15 gram;0,1;85;groen;Vetten, oliën en hartige sauzen
Meringue, eiwitschuimsnoep;0,5;382;2 stuks;10 gram;0,1;38;groen;Snoep, suiker, zoete sauzen
Chocolademousse (lees verpakking);5,3;189;1 bakje;70 gram;3,7;132;oranje;Melkproducten- Nagerechten
Vruchtenyoghurt (mager);3;67;1 schaaltje;150 gram;4,5;101;oranje;Melkproducten- Nagerechten
Dadels (gedroogd);2;315;2 stuks;12 gram;0,2;38;oranje;Fruit
