Naam;Eiwit (g) per 100 gram;Energie (kcal) per 100 gram;1 VSE;Hoeveelheid gram/ml;Eiwit (g) per VSE;Energie (kcal) per VSE;Kleurgroep;Productgroep
Halfvolle melk;3,4;45;1 glas;200 ml;6,8;90;rood;Melk/yoghurtdrank
Melk, eiwitarm (Loprofin);0,4;39;1 pakje;200 ml;0,8;78;groen;Melk/yoghurtdrank
Karnemelk;3;30;1 glas;200 ml;6;60;rood;Melk/yoghurtdrank
Yoghurtdrank, Bonomel;1,2;52;1 glas;200 ml;2,4;104;oranje;Melk/yoghurtdrank
Amandeldrink, ongezoet;0,5;12;1 glas;200 ml;1;24;oranje;Melk/yoghurtdrank
Zuivelspread, naturel, kruiden-;5,1;248;1 voor 1 snee;15 gram;0,8;37;oranje;Broodbeleg, hartig
Uitjes gebakken- (gefrituurd);6;590;1 eetlepel;15 gram;0,9;89;oranje;Kruiden en specerijen
Strooiaroma;9,9;176;1 theelepel;5 gram;0,5;9;groen;Kruiden en specerijen
Mosterd;6,7;129;1 theelepel;5 gram;0,3;6;groen;Kruiden en specerijen
Kruidenpasta (boemboe);4;306;1 eetlepel;15 gram;0,6;46;oranje;Kruiden en specerijen
Kruidenmix m. groente (zakje);9,5;311;1 eetlepel;15 gram;1,4;47;oranje;Kruiden en specerijen
Ricotta kaas;8;141;1 eetlepel;15 gram;1,2;21;oranje;Kaas
Kiri Smeerkaas 55+ naturel;11,5;288;1 portie;15 gram;1,7;43;oranje;Kaas
Boursin roomkaas;7,5;411;1 voor 1 snee;15 gram;1,1;62;oranje;Kaas
Brie 60+;17;369;1 voor 1 snee;20 gram;3,4;74;rood;Kaas
Brie 50+;23;318;1 voor 1 snee;20 gram;4,6;64;rood;Kaas
Nori, zeewier (gedroogd);31,5;254;1 stuk;3 gram;1;8;oranje;Groenten en peulvruchten
Komkommerschijven, zoetzuur;0,7;9;1 opscheplepel;50 gram;0,4;5;groen;Groenten en peulvruchten
Custardpoeder (onb);0,3;350;1 eetlepel;10 gram;0;35;groen;Graanproducten, pappen en bindmiddelen
Tapioca;0;322;1 eetlepel;10 gram;0;32;groen;Graanproducten, pappen en bindmiddelen
Couscous (gekookt);4,3;126;2 opscheplepels;100 gram;4,3;126;oranje;Graanproducten, pappen en bindmiddelen
Maismeel;6,8;361;1 eetlepel;10 gram;0,7;36;oranje;Graanproducten, pappen en bindmiddelen
Paneermeel;13;378;1 eetlepel;5 gram;0,7;19;oranje;Graanproducten, pappen en bindmiddelen
Gortemout;10;332;1 eetlepel;10 gram;1;33;oranje;Graanproducten, pappen en bindmiddelen
Rijstebloem;7;352;1 eetlepel;4 gram;0,3;14;oranje;Graanproducten, pappen en bindmiddelen
Gierst (gekookt);3,7;123;2 opscheplepels;100 gram;3,7;123;oranje;Graanproducten, pappen en bindmiddelen
Olvarit licht volkoren pap (onb);11,6;376;1 portie;20 gram;2,3;75;oranje;Graanproducten, pappen en bindmiddelen
Tarwemeel, volkoren;14,4;330;1 eetlepel;10 gram;1,4;33;oranje;Graanproducten, pappen en bindmiddelen
Boekweitegrutten;8;357;1 eetlepel;10 gram;0,8;36;oranje;Graanproducten, pappen en bindmiddelen
Vermicelli (onbereid);12;354;1 eetlepel;10 gram;1,2;35;oranje;Graanproducten, pappen en bindmiddelen
Vruchtenmuesli;9,7;357;1 eetlepel;10 gram;1;36;oranje;Graanproducten, pappen en bindmiddelen
Krokante muesli, naturel/ fruit;8,3;438;1 eetlepel;10 gram;0,8;44;oranje;Graanproducten, pappen en bindmiddelen
Krokante muesli, noten/ chocolade;8,8;467;1 eetlepel;10 gram;0,9;47;oranje;Graanproducten, pappen en bindmiddelen
Havermout;12,8;373;1 eetlepel;5 gram;0,6;19;oranje;Graanproducten, pappen en bindmiddelen
Sojameel (ontvet) ;50;372;1 eetlepel;9 gram;4,5;33;oranje;Graanproducten, pappen en bindmiddelen
Sojameel (volvet);38;478;1 eetlepel;9 gram;3,4;43;oranje;Graanproducten, pappen en bindmiddelen
Pasta, wit (rauw);12,3;356;100 gram;100 gram;12,3;356;rood;Graanproducten, pappen en bindmiddelen
Pasta, volkoren (rauw);13;348;100 gram;100 gram;13;348;rood;Graanproducten, pappen en bindmiddelen
Coco pops original (Kellogg's);6,3;387;1 portie;30 gram;1,9;116;oranje;Graanproducten, pappen en bindmiddelen
Special K original (Kellog's);9;375;1 portie;30 gram;2,7;113;oranje;Graanproducten, pappen en bindmiddelen
Special K pure chocolade (Kellogg's);8,1;400;1 portie;30 gram;2,4;120;oranje;Graanproducten, pappen en bindmiddelen
Frosties, Kellogg's;4,5;375;1 portie;40 gram;1,8;150;oranje;Graanproducten, pappen en bindmiddelen
Ricekrispies (Kellogg's);6;383;1 portie;30 gram;1,8;115;oranje;Graanproducten, pappen en bindmiddelen
Honey pops loops (Kellogg's);9;378;1 portie;30 gram;2,7;113;oranje;Graanproducten, pappen en bindmiddelen
All Bran Plus Ontbijtproduct;14;334;1 eetlepel;5 gram;0,7;17;oranje;Graanproducten, pappen en bindmiddelen
Fruit 'n Fibre (Kellogg's);8;380;1 eetlepel;5 gram;0,4;19;oranje;Graanproducten, pappen en bindmiddelen
Cornflakes;7;378;1 portie;30 gram;2,1;113;oranje;Graanproducten, pappen en bindmiddelen
Rijstebloem voor pap (onb);7,4;352;1 portie;20 gram;1,5;70;oranje;Graanproducten, pappen en bindmiddelen
Olvarit fijne granen pap (onb);12,4;367;1 portie;20 gram;2,5;73;oranje;Graanproducten, pappen en bindmiddelen
Olvarit 8 granen pap (onb);10,4;360;1 portie;20 gram;2,1;72;oranje;Graanproducten, pappen en bindmiddelen
Mie nestjes (rauw);12,3;356;100 gram;100 gram;12,3;356;rood;Graanproducten, pappen en bindmiddelen
Fruitontbijt (Coolbest);0,8;55;1 portie;250 ml;2;138;oranje;Graanproducten, pappen en bindmiddelen
Pindakoek;10,8;512;1 stuk, 2 kleine;35 gram;3,8;179;rood;Gebak en koek
Berliner bol;5,4;289;1 stuk;80 gram;4,3;231;oranje;Gebak en koek
Kwarkgebak;5,5;218;1 punt;115 gram;6,3;251;rood;Gebak en koek
Appeltaart v zandtaartdeeg;3,1;224;1 punt;115 gram;3,6;258;oranje;Gebak en koek
Monchou taart;2,5;330;1 punt;115 gram;2,9;379;oranje;Gebak en koek
Isostar Energy Bar;5;399;1 stuk;40 gram;2;160;oranje;Gebak en koek
Gevulde koek;6,2;410;1 stuk;60 gram;3,7;246;oranje;Gebak en koek
Eierkoek;6;303;1 stuk;50 gram;3;152;oranje;Gebak en koek
Brownie (stukje 4x4x4 cm);4,4;420;1 stukje;34 gram;1,5;143;oranje;Gebak en koek
Amandelbroodje;7;391;1 stuk;60 gram;4,2;235;rood;Gebak en koek
Avocado, zonder pit/schil;2;186;1 halve;90 gram;1,8;167;oranje;Groenten en peulvruchten
Roosvicee vruchtendrank multivit;0,1;36;1 glas;200 gram;0,2;72;groen;Dranken
Cappucino, vers bereid;1,8;31;1 glas / kop;175 ml;3,2;54;rood;Dranken
Cappucino, oplos- bereid;1,2;37;1 glas / kop;175 ml;2,1;65;rood;Dranken
Alcoholvrij bier;0,3;24;1 glas;250 ml;0,8;60;groen;Dranken
Schuddebuikjes;5;486;1 voor 1 snee;14 gram;0,7;68;oranje;Broodbeleg, zoet
Chocoladevlokken, gem;5,6;451;1 voor 1 snee;15 gram;0,8;68;oranje;Broodbeleg, zoet
Chocoladepasta, puur;3;575;1 voor 1 snee;15 gram;0,5;86;oranje;Broodbeleg, zoet
Chocoladepasta, melk;2,4;570;1 voor 1 snee;15 gram;0,4;86;oranje;Broodbeleg, zoet
Chocoladepasta, hazelnoot;5,7;562;1 voor 1 snee;15 gram;0,9;84;oranje;Broodbeleg, zoet
Chocoladehagelslag (gem);5,5;450;1 voor 1 snee;15 gram;0,8;68;oranje;Broodbeleg, zoet
Heksenkaas - origineel;1,9;356;1 voor 1 snee;15 gram;0,3;53;oranje;Kaas
Heksenkaas Vegan - origineel;0,5;475;1 voor 1 snee;15 gram;0;71;groen;Kaas
Toast (pak);11;359;1 stuk;10 gram;1,1;36;oranje;Brood en crackers
Matze, watercracker;11;376;1 stuk;12 gram;1,3;45;oranje;Brood en crackers
Knackebröd (gemiddeld);11,6;380;1 stuk;10 gram;1,2;38;oranje;Brood en crackers
Creamcracker;9,1;448;1 stuk;10 gram;0,9;45;oranje;Brood en crackers
Cracottes luchtige cracker;12;381;1 stuk;7 gram;0,8;27;oranje;Brood en crackers
Beschuit naturel;14,1;408;1 stuk;10 gram;1,4;41;oranje;Brood en crackers
Aardappelkroketten, onbereid;2,7;169;2 stuks;36 gram;1;61;oranje;Aardappelen en knolgewassen
Aardappelpuree (instant) m water;1,7;71;2 opscheplepels;100 gram;1,7;71;oranje;Aardappelen en knolgewassen
Aardappelpuree (instant) m hv melk;4,1;96;2 opscheplepels;100 gram;4,1;96;oranje;Aardappelen en knolgewassen
Cassavemeel,;2;336;1 eetlepel;10 gram;0,2;34;oranje;Graanproducten, pappen en bindmiddelen
Cassave kroepoek;1,4;474;1 schaaltje;25 gram;0,4;119;oranje;Noten, zaden en chips
Zoete aardappel/ Bataat/ (gekookt);1,1;94;2 opscheplepels;100 gram;1,1;94;oranje;Aardappelen en knolgewassen
Cassave (gekookt);0,5;128;1 stuk;100 gram;0,5;128;groen;Aardappelen en knolgewassen
Eiwitarm bakmeel;0,3;358;1 eetlepel;10 gram;0;36;groen;Graanproducten, pappen en bindmiddelen
Vermicelli, eiwitarm (onbereid);0,6;339;1 eetlepel;10 gram;0,1;34;groen;Graanproducten, pappen en bindmiddelen
Rijst, eiwitarm (rauw gewogen);0,4;365;100 gram;100 gram;0,4;365;groen;Graanproducten, pappen en bindmiddelen
Cracotte, eiwitarm (Aproten);1,6;392;1 cracotte;6 gram;0,1;24;groen;Brood en crackers
Cornflakes, eiwitarm;0,3;380;1 portie;30 gram;0,1;114;groen;Graanproducten, pappen en bindmiddelen
Boekweitmeel;9;353;1 eetlepel;10 gram;0,9;35;oranje;Graanproducten, pappen en bindmiddelen
Blue Band plantaardige kookroom;1,3;154;1 eetlepel;15 gram;0,2;23;oranje;Melkproducten- Room
Groentechips, gem AH en Jumbo;5,7;463;1 handje;10 gram;0,6;46;oranje;Noten, zaden en chips
Tortillachips, naturel;6,8;480;1 handje;15 gram;1;72;oranje;Noten, zaden en chips
Ontbijt/ Lunchreep (Promin);0,4;472;1 reep;40 gram;0,2;189;groen;Graanproducten, pappen en bindmiddelen
Koko dairy free plain ;0,6;79;1 schaaltje;150 gram;0,9;119;oranje;Melkproducten- Nagerechten
Rookworst gem. gekookt ;14,6;332;1 portie;69 gram;10;229;rood;Vlees en vleeswaren
Sushi hosomaki set AH 12 stuks;4,4;130;2 stuks;38 gram;1,7;49;oranje;Samengestelde gerechten
Tosti quick saus (Remia);1,2;130;1 eetlepel;20 gram;0,2;26;oranje;Vetten, oliën en hartige sauzen
Roomijs m. fruitcoating (Solero);3;144;1 stuk;68 gram;2;98;oranje;Melkproducten- Ijs
Magnum Vegan Classic;1,6;339;1 stuk;71 gram;1,1;241;oranje;Melkproducten- Ijs
Cornetto classic ;2,9;277;1 stuk;60 gram;1,7;166;oranje;Melkproducten- Ijs
Cornetto Vegan;1,8;299;1 stuk;60 gram;1,1;179;oranje;Melkproducten- Ijs
Burgermix, eiwitarm (Promin) bereid;0,8;155;1 portie;80 gram;0,6;124;oranje;Vlees en vleeswaren
Slagroomtaart;4,6;316;1 punt;100 gram;4,6;316;oranje;Gebak en koek
Slagroom (geklopt met suiker);2;348;1 eetlepel;10 gram;0,2;35;oranje;Melkproducten- Room
Blue Band Finesse (koken);2;160;1 eetlepel;15 gram;0,3;24;oranje;Melkproducten- Room
Vegan stracciatella (Danio);0,8;136;1 schaaltje;150 gram;1,2;204;oranje;Melkproducten- Nagerechten
Alpro absolutely coconut;0,6;84;1 schaaltje;150 gram;0,9;126;oranje;Melkproducten- Nagerechten
Groente croquet (onbereid);4,5;174;1 stuk;80 gram;3,6;139;rood;Snacks
Zoete aardappelfrites (DV);1,8;163;100 gram;100 gram;1,8;163;oranje;Aardappelen en knolgewassen
Loempia, mini (groente, DV) AH;3,4;239;1 stuk;20 gram;0,7;48;oranje;Snacks
Rösti rondjes (DV);2;178;100 gram;100 gram;2;178;oranje;Aardappelen en knolgewassen
Baba Anoesch (Maza);1,5;260;1 voor 1 snee;15 gram;0,2;39;oranje;Broodbeleg, hartig
Farmersalade (Johma);1;256;1 eetlepel;20 gram;0,2;51;oranje;Salades
American coleslaw (salade);1,4;191;1 eetlepel;20 gram;0,3;38;oranje;Salades
Liga haverkick (appel/bosvr, gem);5;397;1 stuk;33 gram;1,7;131;oranje;Gebak en koek
Evergreen, krenten (Liga);6,9;384;1 stuk;19 gram;1,3;73;oranje;Gebak en koek
Liga Milkbreak;9,2;444;1 stuk;20 gram;1,8;89;oranje;Gebak en koek
Liga kinderbiscuit (12-36 mnd);8,3;404;1 stuk;15 gram;1,2;61;oranje;Gebak en koek
Liga babybiscuit (6-12 mnd);6,8;393;1 stuk;15 gram;1;59;oranje;Gebak en koek
Lamsvlees, gemiddeld (rauw);20;190;1 portie;100 gram;20;190;rood;Vlees en vleeswaren
Varkensvlees, vet (bereid);23,1;378;1 portie;75 gram;17,3;284;rood;Vlees en vleeswaren
Varkensvlees, gem.vet (bereid);28,9;269;1 portie;75 gram;21,7;202;rood;Vlees en vleeswaren
Varkensvlees, mager (bereid);29;159;1 portie;75 gram;21,8;119;rood;Vlees en vleeswaren
Rundvlees (mager), bereid;29,7;161;1 portie;75 gram;22,3;121;rood;Vlees en vleeswaren
Rundvlees (vet), bereid;25,2;277;1 portie;75 gram;18,9;208;rood;Vlees en vleeswaren
Vegetarische hamburger (onbereid);17,7;192;1 stuk;80 gram;14,2;154;rood;Vegetarische producten
Hamburger (bereid);22,5;255;1 stuk;80 gram;18;204;rood;Vlees en vleeswaren
Bietenburger vegan (AH);4,6;80;1 stuk;100 gram;4,6;80;oranje;Vegetarische producten
Pompoen-tijmburger (AH);4,8;170;1 stuk;80 gram;3,8;136;oranje;Vegetarische producten
Jackfruit, young en pulled (blik);1;17;1 portie;70 gram;0,7;12;oranje;Vegetarische producten
Haverdrink (lees pak!);1;47;1 glas;200 ml;2;94;oranje;Melk/yoghurtdrank
Glutenvrije pasta Schar, gekookt;3,6;143;2 opscheplepels;100 gram;3,6;143;oranje;Graanproducten, pappen en bindmiddelen
Roomsnoepje (Werthers);0,3;424;2 stuks;10 gram;0;42;groen;Snoep, suiker, zoete sauzen
Stokbrood wit en bruin (gem);9,8;264;1 snee;10 gram;1;26;oranje;Brood en crackers
Chocoprince;5,4;500;1 stuk;28 gram;1,5;140;oranje;Gebak en koek
Cracker, eiwitarm- (Loprofin);0,4;452;1 stuk;5 gram;0;23;groen;Brood en crackers
Chocolade, eiwitarm (Vita Biwi);0,2;549;1 stuk;25 gram;0,1;137;groen;Chocola
Valess met kaas gevulde filet;13;197;1 stuk;90 gram;11,7;177;rood;Vegetarische producten
Valess veg schnitzel;12,3;188;1 stuk;90 gram;11,1;169;rood;Vegetarische producten
Valess gevulde filet;10,4;200;1 stuk;90 gram;9,4;180;rood;Vegetarische producten
Vega smeerworst kleintje (Kips);7,1;237;1 portie;20 gram;1,4;47;oranje;Broodbeleg, hartig
Eiwitarme pasta, onbereid;0,4;352;100 gram;100 gram;0,4;352;groen;Graanproducten, pappen en bindmiddelen
Eiwitarme pasta, gekookt;0,2;147;2 opscheplepels;100 gram;0,2;147;groen;Graanproducten, pappen en bindmiddelen
M&M's chocolade;4,6;487;1 zakje;45 gram;2,1;219;oranje;Chocola
Oliebol met krenten en rozijnen ;6;256;1 stuk;65 gram;3,9;166;oranje;Gebak en koek
Krentenbrood z spijs;7,8;273;1 snee;35 gram;2,7;96;rood;Brood en crackers
Krentenbrood m spijs;8,2;303;1 snee;35 gram;2,9;106;rood;Brood en crackers
Rozijnen (geweekt);2,5;258;1 eetlepel;15 gram;0,4;39;oranje;Fruit
Rozijnen (gedroogd);3,1;325;1 eetlepel;10 gram;0,3;33;oranje;Fruit
Rozijnen (uitdeeldoosje) gem.;3,1;325;1 doosje;14 gram;0,4;46;oranje;Snoep, suiker, zoete sauzen
"Rice Cuisine (Dream&Joya; Lima)";0,2;94;1 eetlepel;15 gram;0;14;groen;Melkproducten- Room
Melk, eiwitarm (ProZero);0;67;1 pakje;250 ml;0;168;groen;Melk/yoghurtdrank
Lasagnebladen (eiwitarm);0,4;362;100 gram;100 gram;0,4;362;groen;Graanproducten, pappen en bindmiddelen
Eivervanger (Eiwitarm, gem);0,3;338;1 eetlepel;10 gram;0;34;groen;Eieren
Mars;4,1;449;1 stuk;51 gram;2,1;229;oranje;Chocola
Belvita meergranen, Liga;7,7;446;1 stuk;13 gram;1;58;oranje;Gebak en koek
Bebogeen (de Ruijter);3,4;291;1 voor 1 snee;15 gram;0,5;44;oranje;Broodbeleg, zoet
Kruimelvlaai met vruchten;3,3;197;1 punt;115 gram;3,8;227;oranje;Gebak en koek
Boerenkool stamppot z vlees;1,9;82;2 opscheplepels;100 gram;1,9;82;oranje;Samengestelde gerechten
Boerenkool (rauw);3;33;100 gram;100 gram;3;33;oranje;Groenten en peulvruchten
Boerenkool (gekookt);2,7;33;2 opscheplepels;100 gram;2,7;33;oranje;Groenten en peulvruchten
Koolraap (gekookt);0,7;33;2 opscheplepels;100 gram;0,7;33;oranje;Groenten en peulvruchten
Fudge zachte caramel;1,9;435;1 stuk;10 gram;0,2;44;oranje;Snoep, suiker, zoete sauzen
Mueslireep (gem);7,8;441;1 stuk;25 gram;2;110;oranje;Gebak en koek
Café noir original;3,4;420;1 stuk;10 gram;0,3;42;oranje;Gebak en koek
Soes (ongevuld);6;222;1 stuk;28 gram;1,7;62;oranje;Gebak en koek
Pim's orange Cake;3,6;373;1 stuk;12 gram;0,4;45;oranje;Gebak en koek
Stroopwafel;3,8;473;1 stuk;30 gram;1,1;142;oranje;Gebak en koek
Ajvar milde paprikasaus (Podravka);1,5;78;1 sauslepel;25 gram;0,4;20;oranje;Vetten, oliën en hartige sauzen
Rijstdrink choco (Lima/ Riso Scotti);0,5;74;1 pakje;200 ml;1;148;oranje;Melk/yoghurtdrank
Ovenfrites (DV), bereid;5,8;291;2 opscheplepels;100 gram;5,8;291;rood;Aardappelen en knolgewassen
Pastinaak, rauw;1,8;71;100 gram;100 gram;1,8;71;oranje;Groenten en peulvruchten
Pastinaak, gekookt;1,6;68;2 opscheplepels;100 gram;1,6;68;oranje;Groenten en peulvruchten
Ontbijtkoek, volkoren-;3,1;308;1 plak;25 gram;0,8;77;oranje;Gebak en koek
Ontbijtkoek;3;308;1 plak;25 gram;0,8;77;oranje;Gebak en koek
Groentemix, Mexico (DV);4,5;85;2 opscheplepels;100 gram;4,5;85;oranje;Groenten en peulvruchten
Aardappelschijfjes (DV) gefrituurd;3,1;229;2 opscheplepels;100 gram;3,1;229;oranje;Aardappelen en knolgewassen
Frisdrank Light (met aspartaam gezoet);0;1;1 glas;200 ml;0;2;rood;Dranken
Jelly aardbei (dr. Oetker) bereid;0;60;1 portie;150 gram;0;90;groen;Melkproducten- Nagerechten
Kitkat vegan ;2,7;515;2 staafjes;21 gram;0,6;108;oranje;Chocola
Kitkat, reep;7,1;520;2 staafjes;21 gram;1,5;109;rood;Chocola
Koetjesreep, mini (8 g);4,3;558;1 stuk;8 gram;0,3;45;oranje;Chocola
Koetjesreep, klassiek (15 g);4,3;558;1 stuk;15 gram;0,6;84;oranje;Chocola
Frisdrank light;0;0;1 glas;200 ml;0;0;groen;Dranken
30+ kaas;30,4;289;1 voor 1 snee;20 gram;6,1;58;rood;Kaas
Vanilleroomijs;3;220;1 bolletje;50 gram;1,5;110;oranje;Melkproducten- Ijs
Koffiemelk (halfvol);7;110;1 cupje;8 gram;0,6;9;oranje;Melkproducten- Koffiemelk
Chips v. aardappelmeel (Pringels);4,2;522;1 handje;10 gram;0,4;52;oranje;Noten, zaden en chips
Bier, pils, radler;0,4;42;1 glas;250 ml;1;105;oranje;Dranken
Bokbier;0,6;61;1 glas;250 ml;1,5;153;oranje;Dranken
Bier, speciaal;0,5;50;1 glas;250 ml;1,3;125;oranje;Dranken
Advocaat;4,3;236;1 glaasje;50 ml;2,2;118;rood;Dranken
Likeur;0;244;1 glaasje;35 ml;0;85;groen;Dranken
Sterke drank (gedestilleerd) ongezoet;0;221;1 glaasje;35 ml;0;77;groen;Dranken
Cantharel (gekookt);1,8;20;1 opscheplepel;50 gram;0,9;10;oranje;Groenten en peulvruchten
Zoute biscuit;8,1;472;2 stuks;10 gram;0,8;47;oranje;Noten, zaden en chips
Bak- en braadvet (vloeibaar);0;735;1 eetlepel;15 gram;0;110;groen;Vetten, oliën en hartige sauzen
Bakmix, eiwitarm;0,3;370;1 eetlepel;10 gram;0;37;groen;Graanproducten, pappen en bindmiddelen
Vegetarisch gehakt;18,9;176;1 portie;80 gram;15,1;141;rood;Vegetarische producten
Kruisbessen;0,9;49;1 eetlepel;15 gram;0,1;7;groen;Fruit
Bosbessen;0,6;30;1 eetlepel;15 gram;0,1;5;groen;Fruit
Blauwe bessen;0,7;52;1 eetlepel;15 gram;0,1;8;groen;Fruit
Zwarte bessen;0,9;53;1 eetlepel;15 gram;0,1;8;groen;Fruit
Rode bessen;1,1;36;1 eetlepel;15 gram;0,2;5;groen;Fruit
Vossenbessen;0,8;57;1 eetlepel;15 gram;0,1;9;groen;Fruit
Bessensap, rode;0,2;42;1 glas;150 gram;0,3;63;groen;Dranken
Bloemkool (rauw);1,9;25;100 gram;100 gram;1,9;25;oranje;Groenten en peulvruchten
Bloemkool (gekookt);1,8;22;2 opscheplepels;100 gram;1,8;22;oranje;Groenten en peulvruchten
Witbrood (water-);9;247;1 snee;35 gram;3,2;86;rood;Brood en crackers
Bouillon v blokje (bereid);0,1;5;1 kop;250 ml;0,3;13;groen;Soepen
Krentenbol;8,4;268;1 stuk;50 gram;4,2;134;rood;Brood en crackers
Broccoli (gekookt);3,9;27;2 opscheplepels;100 gram;3,9;27;oranje;Groenten en peulvruchten
Bugles;6,3;537;1 handje;8 gram;0,5;43;oranje;Noten, zaden en chips
Fritessaus 25% olie;0,5;296;1 eetlepel;20 gram;0,1;59;groen;Vetten, oliën en hartige sauzen
Volkorenbrood met div zaden ;12,5;274;1 snee;35 gram;4,4;96;rood;Brood en crackers
Pasta, wit (gekookt);5,1;142;2 opscheplepels;100 gram;5,1;142;rood;Graanproducten, pappen en bindmiddelen
Pasta, volkoren (gekookt);5,6;134;2 opscheplepels;100 gram;5,6;134;rood;Graanproducten, pappen en bindmiddelen
Tahin seampasta;21,9;602;1 voor 1 snee;15 gram;3,3;90;rood;Broodbeleg, hartig
Duopasta met chocolade;1,8;576;1 voor 1 snee;15 gram;0,3;86;oranje;Broodbeleg, zoet
Druiven (witte/blauwe);0,6;78;1 schaaltje;125 gram;0,7;98;groen;Fruit
Kel­logg's Fros­ties ;4,5;375;1 portie;30 gram;1,4;113;oranje;Graanproducten, pappen en bindmiddelen
Graanreep (Kellogg's, gem);6;417;1 stuk;20 gram;1,2;83;oranje;Gebak en koek
Atjar tjampoer;1;42;1 opscheplepel;50 gram;0,5;21;groen;Groenten en peulvruchten
20+ Kaas;34,5;246;1 voor 1 snee;20 gram;6,9;49;rood;Kaas
Edammer kaas, 40+;25,5;324;1 voor 1 snee;20 gram;5,1;65;rood;Kaas
Geitenkaas (vers/ zacht);13,4;207;1 voor 1 snee;20 gram;2,7;41;rood;Kaas
Geitenkaas (hard);22,4;396;1 voor 1 snee;20 gram;4,5;79;rood;Kaas
Schapenkaas (vers);17;238;1 voor 1 snee;20 gram;3,4;48;rood;Kaas
Goudse kaas, 48+;22,9;369;1 voor 1 snee;20 gram;4,6;74;rood;Kaas
Pindakaas met stukjes noot;20;651;1 voor 1 snee;15 gram;3;98;rood;Broodbeleg, hartig
Pindakaas;22,5;654;1 voor 1 snee;15 gram;3,4;98;rood;Broodbeleg, hartig
Mierikswortel (rauw);4,5;80;1 theelepel;5 gram;0,2;4;groen;Kruiden en specerijen
Trassie (garnalenpasta);37;208;1 theelepel;5 gram;1,9;10;oranje;Kruiden en specerijen
Zout;0;0;1 theelepel;5 gram;0;0;groen;Kruiden en specerijen
Peterselie (vers);4;37;1 takje;5 gram;0,2;2;groen;Kruiden en specerijen
Peterselie (gedroogd);22;309;1 snufje;1 gram;0,2;3;groen;Kruiden en specerijen
Basilicum (vers);3,1;48;1 takje;5 gram;0,2;2;groen;Kruiden en specerijen
Basilicum (gedroogd);23;244;1 snufje;1 gram;0,2;2;groen;Kruiden en specerijen
Bieslook;4;62;1 sprietje;1 gram;0;1;groen;Kruiden en specerijen
Selderijblad (vers);1;16;1 takje;2 gram;0;0;groen;Kruiden en specerijen
Cayennepeper;12;379;1 snufje;1 gram;0,1;4;groen;Kruiden en specerijen
Peper (zwarte en witte);11;332;1 snufje;1 gram;0,1;3;groen;Kruiden en specerijen
Chilipoeder;12;373;1 snufje;1 gram;0,1;4;groen;Kruiden en specerijen
Kaneel;4;316;1 snufje;1 gram;0;3;groen;Kruiden en specerijen
Kerrie Djawa;12;370;1 snufje;1 gram;0,1;4;groen;Kruiden en specerijen
Kervel (gedroogd);23;303;1 snufje;1 gram;0,2;3;groen;Kruiden en specerijen
Kervel (vers);4;44;1 takje;2 gram;0,1;1;groen;Kruiden en specerijen
Knoflook (vers);6,4;158;1 teentje;2 gram;0,1;3;groen;Kruiden en specerijen
Komijnzaad (gedroogd);18;427;1 snufje;1 gram;0,2;4;groen;Kruiden en specerijen
Majoraan (gedroogd);13;319;1 snufje;1 gram;0,1;3;groen;Kruiden en specerijen
Nootmuskaat;6;536;1 snufje;1 gram;0,1;5;groen;Kruiden en specerijen
Oregano (gedroogd);11;360;1 snufje;1 gram;0,1;4;groen;Kruiden en specerijen
Rozemarijn (gedroogd);5;374;1 snufje;1 gram;0,1;4;groen;Kruiden en specerijen
Sambal gebakken;4,4;250;1 theelepel;5 gram;0,2;13;groen;Kruiden en specerijen
Sambal Oelek;1,6;36;1 theelepel;5 gram;0,1;2;groen;Kruiden en specerijen
Sereh (citroengras) poeder;5;216;1 snufje;1 gram;0,1;2;groen;Kruiden en specerijen
Bamigroenten, gekookt;1,2;19;2 opscheplepels;100 gram;1,2;19;oranje;Groenten en peulvruchten
Soepgroenten (rauw);1,4;33;100 gram;100 gram;1,4;33;oranje;Groenten en peulvruchten
Soepgroenten v. erwtensoep (dv);2;17;100 gram;100 gram;2;17;oranje;Groenten en peulvruchten
Soepgroenten (diepvries);2;25;100 gram;100 gram;2;25;oranje;Groenten en peulvruchten
Witbrood (melk-);9,6;257;1 snee;35 gram;3,4;90;rood;Brood en crackers
Koffieroom;3,3;210;1 cupje;8 gram;0,3;17;oranje;Melkproducten- Koffiemelk
Zure room;3;134;1 eetlepel;15 gram;0,5;20;oranje;Melkproducten- Room
Fritessticks;6,5;522;1 handje;10 gram;0,7;52;oranje;Noten, zaden en chips
Chips, gemiddeld;6,3;538;1 handje;10 gram;0,6;54;oranje;Noten, zaden en chips
Chips light;7,3;490;1 handje;10 gram;0,7;49;oranje;Noten, zaden en chips
Pijnboompitten;24;611;1 eetlepel;15 gram;3,6;92;rood;Noten, zaden en chips
Pompoenpitten;30,3;574;1 eetlepel;15 gram;4,5;86;rood;Noten, zaden en chips
Sesamzaad;26;629;1 eetlepel;15 gram;3,9;94;rood;Noten, zaden en chips
Andijviestamppot z. vlees;1,9;65;2 opscheplepels;100 gram;1,9;65;oranje;Samengestelde gerechten
Zuurkoolstamppot z vlees;1,6;54;2 opscheplepels;100 gram;1,6;54;oranje;Samengestelde gerechten
Nibbits;3,3;482;1 handje;10 gram;0,3;48;oranje;Noten, zaden en chips
